sn,ring_completed,defect_magnitude,defect_area,Pitch_high,Pitch_low,PV,sharpness_drop_rate,std_full,std_inner,std_outer,inner_rings,inner_PV,outer_rings,outer_PV,mtf_drop_10,mtf_drop_20,mtf_drop_30
AAA310100699QMB1K,0.378333333,0.051615659,67,16,29.53333333,0.023104794,0.18905134,0.062,0.032,0.039,1,0.04,3,0.07,0.42,16.62,66.82
AAA310100700QMB1K,0.345555556,0.085369962,186,16.51851852,21.23809524,0.023209267,0.1727752,0.059,0.034,0.037,0,0.05,3,0.06,-0.82,13.97,65.57
AAA310100701QMB1K,0.673666667,0.090902997,14,11.87804878,18.73076923,0.02015978,0.3702336,0.112,0.453,0.197,1,6.88,2,6.88,8.45,30.2,63.86
AAA310100702QMB1K,0.308888889,0.062082321,221,10.88372093,23.15,0.018338987,0.35280216,0.056,0.136,0.065,1,0.19,4,0.19,6.66,28.38,62.78
AAA310100704QMB1K,0.292111111,0.051119117,140,10.79069767,22.65,0.018217521,0.34196156,0.069,0.178,0.081,2,0.48,3,0.48,7.56,28.9,63.64
AAA310100742QMB1K,0.356666667,0.047580762,126,14.58064516,20.54545455,0.015821207,0.3329609,0.043,0.089,0.048,3,0.06,7,0.07,3.98,24.99,62.39
AAA310100759QMB1K,0.398222222,0.081241932,14,13.18181818,17.75,0.016212247,0.38637123,0.04,0.048,0.037,2,0.06,7,0.09,6.48,28.8,62.82
AAA310100761QMB1K,0.368,0.09483845,210,12.52941176,18.34782609,0.025422232,0.31691986,0.096,0.073,0.051,0,0.15,5,0.15,1.48,17.74,52.47
AAA310100762QMB1K,0.424555556,0.049683878,111,12.47058824,25.6,0.017988152,0.29291564,0.062,0.094,0.058,1,0.11,4,0.11,-5.66,10.26,42.45
SN1,0.087222222,0.035575833,300,57.77777778,114.5,0.008920704,0.04480166,0.078,0.014,0.02,0,0.01,0,0.04,0.46,-0.23,33.51
SN10,0.316777778,0.083491326,515,27.0952381,123,0.007078152,0.08079388,0.06,0.019,0.022,1,0.01,1,0.01,0.6,6.47,27
SN11,0.276,0.106508318,498,67,130.5,0.007175855,0.09479048,0.057,0.016,0.02,0,0.01,0,0.01,1.09,5.27,22.44
SN12,0.000444444,0.026246516,436,46.33333333,124,0.008838542,0.06287493,0.071,0.014,0.02,0,0.02,1,0.03,0.81,2.73,21.29
SN13,0.302777778,0.035375679,346,41.16666667,148.5,0.00682871,0.09918274,0.052,0.016,0.018,0,0.02,1,0.02,2.55,9.51,27.72
SN14,0.445888889,0.039534777,358,66.57142857,155.3333333,0.006027345,0.095159784,0.047,0.02,0.021,0,0.02,1,0.05,2.22,6.78,31.03
SN15,0.360555556,0.037954662,310,55.11111111,126,0.006586605,0.10667305,0.055,0.021,0.024,0,0.02,1,0.04,1.54,8.43,27.94
SN16,0.118,0.033588412,324,37.41666667,105.5,0.007626549,0.092001334,0.056,0.018,0.017,0,0.02,0,0.02,0.3,6.92,21.11
SN17,0.513888889,0.058782484,348,31,107,0.006389392,0.07492028,0.046,0.018,0.022,0,0.01,0,0.02,0.09,4.28,22.26
SN18,0.431111111,0.054187457,516,31.875,114.3333333,0.00680806,0.08303713,0.052,0.021,0.029,0,0.01,1,0.02,-0.04,5.51,36.99
SN19,0,,61,54.33333333,138,0.007454104,0.05135088,0.063,0.01,0.024,0,0.01,0,0.02,0.59,3.09,27.17
SN2,0.098444444,0.038673005,474,35.9375,126,0.008122339,0.08508899,0.082,0.016,0.02,0,0.03,1,0.05,1.51,5.61,21.75
SN20,0.382,0.039062974,347,29.82352941,116,0.006232189,0.091573745,0.052,0.02,0.021,0,0.02,1,0.02,1.08,6.52,27.39
SN21,0.123111111,0.036268301,315,41.30769231,124,0.006493739,0.038578577,0.05,0.017,0.025,0,0.02,1,0.03,-3.68,-0.63,20.98
SN22,0.289,0.084168672,516,23.08695652,121,0.00707365,0.029887205,0.06,0.022,0.022,0,0.02,0,0.02,-3.06,-1.31,22.15
SN23,0.133333333,0.03451314,364,33.52941176,221,0.008161579,0.0752462,0.064,0.018,0.019,0,0.02,1,0.03,-0.42,4.31,26.44
SN24,0.210666667,0.034531406,352,33.88235294,102,0.006139351,0.06017346,0.051,0.012,0.02,0,0.01,0,0.02,-3.35,0.2,23.71
SN25,0.435777778,0.04597207,162,48.1,170,0.009467762,0.045172732,0.099,0.014,0.029,0,0.01,0,0.02,-4.04,1.46,27.96
SN26,0,,39,33.64285714,76.25,0.007417705,0.032398403,0.06,0.024,0.023,0,0.01,1,0.03,-2.09,1.7,25.86
SN27,0.171222222,0.037580969,477,30.70588235,81,0.006682361,0.027131388,0.053,0.015,0.021,0,0.01,0,0.01,-4.89,-2.85,23.35
SN28,0.220444444,0.039226503,317,45.33333333,163,0.008244789,0.03392893,0.072,0.019,0.02,0,0.02,1,0.04,-1.59,1.6,22.26
SN29,0.165888889,0.039607852,297,39.5,133.5,0.00789677,0.038948294,0.065,0.011,0.024,0,0.01,0,0.03,-3.2,-0.41,25.21
SN3,0.396888889,0.094242042,498,25.04,130,0.008721621,0.061420683,0.09,0.02,0.019,1,0.02,1,0.02,1.63,4.73,27.38
SN30,0.342888889,0.076816415,535,50.5,98.4,0.007697548,0.037314385,0.065,0.021,0.025,0,0.02,1,0.03,-2.7,0.26,22.79
SN31,0.277666667,0.038979004,327,31.38461538,,0.007774741,0.048617497,0.067,0.009,0.021,0,0.01,0,0.02,-1.68,1.26,23.12
SN32,0.372555556,0.053522296,489,36.75,129,0.007233158,0.040027283,0.064,0.015,0.022,0,0.01,0,0.01,-3.9,-1.78,25.81
SN33,0.301555556,0.049718179,509,69.85714286,,0.006966262,0.051783696,0.056,0.026,0.025,0,0.03,1,0.06,-2.19,2.84,28.01
SN34,0,,47,51.4,116,0.009363636,0.028288567,0.077,0.011,0.023,0,0.02,0,0.04,0.21,-0.94,21.71
SN35,0.234333333,0.115819247,489,59.25,93,0.009051698,0.036459133,0.08,0.015,0.021,0,0,1,0.03,-4.52,-2.23,28.06
SN36,0.395777778,0.072658373,610,41.33333333,143.6666667,0.008947944,0.049802482,0.089,0.026,0.029,0,0.02,1,0.03,-1.48,0.96,24.45
SN37,0.271555556,0.05199991,503,64.57142857,160.5,0.006977697,0.031093212,0.057,0.021,0.024,0,0.04,0,0.04,-1.28,1.12,22.92
SN38,0.367888889,0.089031845,521,40,141.3333333,0.006572698,0.0547197,0.06,0.021,0.02,0,0.03,0,0.03,-3.89,1.01,29.34
SN39,0.377222222,0.097382796,505,28.76470588,189.5,0.010355445,0.054340396,0.105,0.031,0.029,0,0.01,0,0.02,-0.68,2.44,29.01
SN4,0.251777778,0.104635245,522,45.76923077,85.4,0.008430507,0.1179232,0.071,0.018,0.027,0,0.02,1,0.02,2.04,11,25.86
SN40,0.023888889,0.030599135,98,36.71428571,293,0.008906664,0.05935955,0.081,0.018,0.024,0,0.02,0,0.03,-3.99,0.13,28.55
SN41,0.272555556,0.085375461,544,32.88888889,152,0.00688781,0.032589592,0.064,0.015,0.015,0,0.01,0,0.01,-2.43,1.13,22.83
SN42,0.242666667,0.036241057,48,39.07142857,99.75,0.007618014,0.03454941,0.06,0.027,0.026,0,0.02,1,0.03,-3.14,-1.24,22.5
SN43,0.348,0.042240048,347,42.33333333,199,0.007581285,0.03379151,0.065,0.023,0.019,0,0.01,0,0.01,-0.69,1.16,23.92
SN44,0.064777778,0.033955307,458,30.42857143,83,0.007570399,0.041907597,0.067,0.015,0.017,0,0.02,1,0.03,-4.25,-1.45,27.51
SN45,0.085555556,0.035985101,46,61.11111111,126.5,0.008130161,0.046821468,0.068,0.027,0.023,0,0.03,1,0.04,0.37,1.21,22.98
SN46,0.282111111,0.041996686,49,34.72727273,113.3333333,0.008162442,0.028570335,0.064,0.041,0.03,0,0.02,0,0.02,-0.21,1.45,19.03
SN47,0.279888889,0.055877865,494,46.78571429,129.6666667,0.006347492,0.033029143,0.048,0.023,0.021,0,0.01,1,0.02,-2.55,1.52,30.12
SN48,0.348444444,0.091584897,509,55.1,110.25,0.007256797,0.048095245,0.058,0.017,0.019,1,0.02,1,0.02,-2.72,-0.06,22.97
SN49,0.185111111,0.050480108,495,34.52941176,107,0.006657128,0.06902469,0.063,0.022,0.026,0,0.01,0,0.01,-2.12,1.39,34.56
SN5,0,,87,33.57142857,124,0.008116136,0.07269735,0.079,0.012,0.024,0,0.01,0,0.02,2.02,7.9,21.41
SN50,0.302111111,0.036481899,383,24.64,91.66666667,0.008502579,0.04051501,0.106,0.016,0.016,1,0.01,1,0.01,-2.63,0.13,25.24
SN51,0.351444444,0.035699255,28,51.1,148.6666667,0.006746128,0.05787859,0.053,0.024,0.021,1,0.01,1,0.03,-3.18,0.31,26.54
SN52,0.275333333,0.087043408,626,42.13333333,124,0.006392311,0.043600854,0.049,0.022,0.021,0,0.01,0,0.02,-3.23,0.93,26.93
SN53,0.079555556,0.033028153,53,56.63636364,118.3333333,0.006008331,0.031246115,0.045,0.025,0.023,0,0.02,1,0.03,-3.07,0.27,28.87
SN54,0.279,0.039085882,389,29.04761905,118.75,0.006130427,0.041993707,0.044,0.018,0.021,0,0.02,0,0.02,-0.83,2.32,32.13
SN55,0.215444444,0.037559317,183,42.81818182,157,0.00700593,0.06370732,0.056,0.023,0.023,0,0.04,1,0.06,-2.08,3.19,33.31
SN56,0.479333333,0.03807448,178,49.22222222,147.6666667,0.007944167,0.07351174,0.066,0.021,0.023,1,0.05,1,0.05,-0.11,0.98,21.48
SN57,0.202111111,0.044837886,460,40.75,113.5,0.009260702,0.045758933,0.162,0.018,0.024,0,0.01,0,0.04,-0.92,3.09,31.42
SN58,0.155444444,0.043399261,373,33,74.33333333,0.006554962,0.04149453,0.045,0.016,0.021,0,0.02,0,0.04,-3.68,1.6,31.01
